run_id,status,final_lat_deg,final_long_deg,final_alt_m,max_mach,max_nz
120,SUCCESS,37.37291710789421,-115.79216070959728,15201.226696197875,2.401474497715932,0.22488877521490047
121,SUCCESS,37.37667104567547,-115.80981365609003,15101.953534915112,2.397879668342159,0.5552337669299702
122,SUCCESS,37.3448482431028,-115.83000972156466,15111.033263991587,2.4048468014059807,0.18417315759309374
124,SUCCESS,37.350067052459266,-115.79786333871884,15048.000658484176,2.4028847906111332,0.17670253254658747
123,SUCCESS,37.35283222725188,-115.80276126673867,15314.705643239431,2.3891436939663055,0.2601553063623693
116,SUCCESS,37.359310694153095,-115.80389404337119,15930.32890006341,2.385077006756436,0.24997679159422162
125,SUCCESS,37.350725280910304,-115.80627553027767,15150.033399398439,2.393011630566185,0.19341876919868048
127,SUCCESS,37.353712167504085,-115.79450398573883,15172.399137565866,2.3942819051766007,0.31518904203337755
128,SUCCESS,37.35294211722344,-115.80166631772609,15217.281118392013,2.3960000100103933,0.22772936098567556
129,SUCCESS,37.355810522182345,-115.79009139629022,15346.775856124237,2.3837118862204987,0.2394487012209878
131,SUCCESS,37.35300461525013,-115.78594147522014,15135.274314293638,2.404502232112413,0.30479535621253706
132,SUCCESS,37.35863045498717,-115.79464206021615,15185.65747721307,2.394520984863688,0.15869232669407132
126,SUCCESS,37.37481886009121,-115.81943896264559,15970.354453722015,2.3933769459356617,0.08964436232922166
130,SUCCESS,37.36718874326005,-115.8090945610056,16081.57095071394,2.3957243916296007,0.08852665580413507
135,SUCCESS,37.34844662838708,-115.80122090065784,15438.05713914521,2.387351440162402,0.789792081420133
133,SUCCESS,37.36584335071465,-115.80290746431372,16143.007878988981,2.38971193925481,0.21663079732174415
136,SUCCESS,37.3587275835429,-115.808543837056,15170.131126195192,2.3984361455187573,0.29362473046629667
137,SUCCESS,37.36286173640583,-115.80609417225295,15182.220901447348,2.4109077548757902,0.246751419326457
138,SUCCESS,37.3525745392416,-115.8079185823053,15192.783499153331,2.4084034394220293,0.26779656424234904
139,SUCCESS,37.35836273826408,-115.80728331799172,15034.909887047485,2.416477263117823,0.8139877204069641
140,SUCCESS,37.35246849580416,-115.78637921943479,15121.679203440435,2.3953283217870163,0.24495707454385182
142,SUCCESS,37.354222123878614,-115.7950824014977,15098.21748857852,2.401297396351098,0.388878231427185
134,SUCCESS,37.36975491177255,-115.804301579669,16327.339341979474,2.3977568454440266,0.10308278558458657
141,SUCCESS,37.358076007012315,-115.80998646686784,14979.206601991318,2.400453564065236,13.016235133775833
144,SUCCESS,37.35276447377138,-115.79240797492271,15030.96961390227,2.3870142895196538,0.2256335906845202
145,SUCCESS,37.34946266777008,-115.78167999464296,15036.182239111513,2.391713772225698,0.2348612561322765
146,SUCCESS,37.35183215728953,-115.79068375212964,15326.66211997345,2.4239647856380184,0.21315461159887392
147,SUCCESS,37.35990088990705,-115.79772706479888,15030.552130833268,2.4139588044376232,0.3077985215198014
148,SUCCESS,37.34505668406764,-115.7924858938578,15112.380983416922,2.389139145479795,0.35598228789708475
149,SUCCESS,37.35488737822026,-115.80373587681184,15057.546837571077,2.40101809447705,0.722652192519867
150,SUCCESS,37.34578001236382,-115.80460423498896,15038.942033265717,2.3976861675281307,0.39481269121705403
151,SUCCESS,37.35853228690301,-115.7917274317456,15158.036512589082,2.3936326240989634,0.26118322482226175
152,SUCCESS,37.37918627228471,-115.807860407514,15135.6889484711,2.3991964816380205,0.23910807611423215
154,SUCCESS,37.36234215384857,-115.80073173407025,15015.260696080513,2.423120746063095,0.35843164511998327
155,SUCCESS,37.374440357503424,-115.79874906894989,15157.772859876975,2.406243506584891,0.23860050304096114
143,SUCCESS,37.353526633711475,-115.79899195934374,16317.04836629238,2.3916684565851356,0.08295813852393678
